isin,nav,nav_date
INF209KA12Z1,110.0609,11-Dec-2025
INF209K01YM2,117.3612,11-Dec-2025
INF209K01YO8,105.5768,11-Dec-2025
INF209K01LX6,154.3658,11-Dec-2025
INF209K01LU2,112.9435,11-Dec-2025
INF209K01LN7,103.3575,11-Dec-2025
INF209K01LR8,113.6944,11-Dec-2025
INF209K01LS6,104.5112,11-Dec-2025
INF209K01LV0,375.825,11-Dec-2025
INF209K01LT4,564.1644,11-Dec-2025
INF209K01YN0,390.6522,11-Dec-2025
-,1036.9538,11-Dec-2025
INF846K01CR6,2792.2098,11-Dec-2025
INF846K01CT2,1032.2769,11-Dec-2025
INF846K01CV8,1036.2911,11-Dec-2025
-,1036.9039,11-Dec-2025
INF846K01CB0,2704.3691,11-Dec-2025
INF846K01CF1,1032.1414,11-Dec-2025
INF846K01CD6,1036.2648,11-Dec-2025
INF0QA701649,10.9783,11-Dec-2025
INF0QA701615,11.8173,11-Dec-2025
INF0QA701557,11.6828,11-Dec-2025
INF0QA701565,11.6828,11-Dec-2025
INF0QA701607,11.8173,11-Dec-2025
INF0QA701599,10.9058,11-Dec-2025
INF194K019M8,12.6475,11-Dec-2025
-,10.4592,11-Dec-2025
-,10.4466,11-Dec-2025
INF194K015G8,25.9758,11-Dec-2025
INF194K016G6,13.6639,11-Dec-2025
-,10.4183,11-Dec-2025
INF194K018M0,11.0314,11-Dec-2025
INF194K015M6,11.6122,11-Dec-2025
-,10.86,11-Dec-2025
-,10.6012,11-Dec-2025
INF194K01SN6,25.2059,11-Dec-2025
INF194K01SO4,13.611,11-Dec-2025
-,10.661,11-Dec-2025
INF194K014M9,10.925,11-Dec-2025
INF760K01KC4,12.4735,11-Dec-2025
INF760K01KE0,10.9892,11-Dec-2025
INF760K01KF7,12.3492,11-Dec-2025
INF760K01KH3,10.8942,11-Dec-2025
INF740K01ZW2,25.4863,11-Dec-2025
INF740K01A18,10.748,11-Dec-2025
-,10.1597,11-Dec-2025
INF740K01ZX0,10.3695,11-Dec-2025
INF740K01ZZ5,10.4999,11-Dec-2025
INF740KA1OG5,10.1597,11-Dec-2025
INF740K01ZP6,24.5845,11-Dec-2025
INF740K01ZU6,10.7261,11-Dec-2025
-,10.1591,11-Dec-2025
INF740K01ZQ4,10.3574,11-Dec-2025
INF740K01ZS0,10.4877,11-Dec-2025
INF740KA1OJ9,10.1586,11-Dec-2025
INF843K01FC8,26.1823,11-Dec-2025
INF843K01FD6,18.7315,11-Dec-2025
INF843K01FG9,14.4798,11-Dec-2025
INF843K01FI5,10.8952,11-Dec-2025
INF843K01FF1,10.5408,11-Dec-2025
INF843K01FK1,25.2337,11-Dec-2025
INF843K01FL9,17.8463,11-Dec-2025
INF843K01FO3,14.0083,11-Dec-2025
INF843K01FQ8,11.1404,11-Dec-2025
INF843K01FN5,10.1356,11-Dec-2025
INF090I01KR8,24.1667,11-Dec-2025
INF090I01KO5,23.0992,11-Dec-2025
INF090I01KS6,11.6234,11-Dec-2025
INF090I01KP2,10.9904,11-Dec-2025
INF179KA1JC4,23.5941,11-Dec-2025
INF179KA1IZ7,24.6096,11-Dec-2025
INF179KA1JD2,10.1337,11-Dec-2025
INF179KA1JA8,10.0046,11-Dec-2025
-,11.1611,11-Dec-2025
INF917K01HH5,26.253,11-Dec-2025
INF917K01HJ1,11.3069,11-Dec-2025
-,10.3285,11-Dec-2025
