isin,nav,nav_date
INF209KA12Z1,108.4412,05-Aug-2025
INF209K01YM2,117.9544,05-Aug-2025
INF209K01YO8,105.5889,05-Aug-2025
INF209K01LX6,152.2784,05-Aug-2025
INF209K01LU2,113.7,05-Aug-2025
INF209K01LN7,103.4943,05-Aug-2025
INF209K01LR8,113.6608,05-Aug-2025
INF209K01LS6,104.6261,05-Aug-2025
INF209K01LV0,370.7359,05-Aug-2025
INF209K01LT4,556.5252,05-Aug-2025
INF209K01YN0,384.9032,05-Aug-2025
-,1039.131,05-Aug-2025
INF846K01CR6,2747.5934,05-Aug-2025
INF846K01CT2,1035.3171,05-Aug-2025
INF846K01CV8,1038.3126,05-Aug-2025
-,1039.1303,05-Aug-2025
INF846K01CB0,2663.7706,05-Aug-2025
INF846K01CF1,1035.2208,05-Aug-2025
INF846K01CD6,1038.302,05-Aug-2025
INF0QA701649,11.0273,05-Aug-2025
INF0QA701615,11.6511,05-Aug-2025
INF0QA701557,11.5408,05-Aug-2025
INF0QA701565,11.5408,05-Aug-2025
INF0QA701607,11.6511,05-Aug-2025
INF0QA701599,10.9549,05-Aug-2025
INF194K019M8,12.4403,05-Aug-2025
-,10.476,05-Aug-2025
-,10.4711,05-Aug-2025
INF194K015G8,25.5778,05-Aug-2025
INF194K016G6,13.4546,05-Aug-2025
-,10.44,05-Aug-2025
INF194K018M0,10.968,05-Aug-2025
INF194K015M6,11.4454,05-Aug-2025
-,10.8779,05-Aug-2025
-,10.6264,05-Aug-2025
INF194K01SN6,24.8459,05-Aug-2025
INF194K01SO4,13.4167,05-Aug-2025
-,10.6838,05-Aug-2025
INF194K014M9,10.8664,05-Aug-2025
INF955L01KF1,10.5087,05-Aug-2025
INF955L01KC8,13.0682,05-Aug-2025
INF955L01KD6,10.6044,05-Aug-2025
INF955L01JX6,12.7791,05-Aug-2025
INF955L01KA2,10.3377,05-Aug-2025
INF955L01JY4,10.3854,05-Aug-2025
INF760K01KC4,12.2771,05-Aug-2025
INF760K01KE0,10.8163,05-Aug-2025
INF760K01KF7,12.1688,05-Aug-2025
INF760K01KH3,10.735,05-Aug-2025
INF740K01ZW2,25.187,05-Aug-2025
INF740K01A18,10.6218,05-Aug-2025
-,10.1867,05-Aug-2025
INF740K01ZX0,10.4051,05-Aug-2025
INF740K01ZZ5,10.4606,05-Aug-2025
INF740KA1OG5,10.1986,05-Aug-2025
INF740K01ZP6,24.318,05-Aug-2025
INF740K01ZU6,10.6098,05-Aug-2025
-,10.1866,05-Aug-2025
INF740K01ZQ4,10.3938,05-Aug-2025
INF740K01ZS0,10.4521,05-Aug-2025
INF740KA1OJ9,10.1977,05-Aug-2025
INF843K01FC8,25.8233,05-Aug-2025
INF843K01FD6,19.0716,05-Aug-2025
INF843K01FG9,14.5543,05-Aug-2025
INF843K01FI5,10.9302,05-Aug-2025
INF843K01FF1,10.5555,05-Aug-2025
INF843K01FK1,24.9137,05-Aug-2025
INF843K01FL9,18.2174,05-Aug-2025
INF843K01FO3,14.0846,05-Aug-2025
INF843K01FQ8,11.1767,05-Aug-2025
INF843K01FN5,10.1491,05-Aug-2025
INF090I01KR8,23.7001,05-Aug-2025
INF090I01KO5,22.6788,05-Aug-2025
INF090I01KS6,11.565,05-Aug-2025
INF090I01KP2,10.94,05-Aug-2025
INF179KA1JC4,23.2606,05-Aug-2025
INF179KA1IZ7,24.2286,05-Aug-2025
INF179KA1JD2,10.2377,05-Aug-2025
INF179KA1JA8,10.0303,05-Aug-2025
-,11.1907,05-Aug-2025
INF917K01HH5,25.8348,05-Aug-2025
INF917K01HJ1,11.3848,05-Aug-2025
-,10.3692,05-Aug-2025
-,11.116,05-Aug-2025
INF677K01AE7,24.5215,05-Aug-2025
INF677K01AI8,10.6477,05-Aug-2025
-,10.3424,05-Aug-2025
INF109K010A6,34.4717,05-Aug-2025
INF109K011A4,13.0147,05-Aug-2025
INF109K01RT3,33.0589,05-Aug-2025
INF109K01YE1,11.0161,05-Aug-2025
-,1051.2819,05-Aug-2025
INF205K01KT4,2450.6138,05-Aug-2025
-,1064.4159,05-Aug-2025
INF205K01KU2,1011.7785,05-Aug-2025
INF205K01JV2,2288.1301,05-Aug-2025
INF205K01JW0,1062.7584,05-Aug-2025
INF00XX01861,13.4927,05-Aug-2025
INF00XX01879,13.494,05-Aug-2025
INF00XX01838,13.1416,05-Aug-2025
INF00XX01846,13.1427,05-Aug-2025
INF174K01FO3,66.0892,05-Aug-2025
INF174K01FQ8,12.4166,05-Aug-2025
INF174K01KH7,68.8826,05-Aug-2025
INF174K01KK1,10.2894,05-Aug-2025
INF767K01GJ2,14.3176,05-Aug-2025
INF767K01GI4,37.9798,05-Aug-2025
INF767K01GK0,14.3036,05-Aug-2025
INF767K01GL8,10.0685,05-Aug-2025
INF767K01519,11.2931,05-Aug-2025
INF767K01535,35.1989,05-Aug-2025
INF767K01543,13.1736,05-Aug-2025
INF767K01568,10.3998,05-Aug-2025
INF769K01FY9,13.3882,05-Aug-2025
INF769K01FX1,13.3833,05-Aug-2025
INF769K01FV5,13.0893,05-Aug-2025
INF769K01FU7,13.0904,05-Aug-2025
INF204KA1U79,21.7937,05-Aug-2025
INF204KA1U12,10.4351,05-Aug-2025
INF204KA1U53,21.7937,05-Aug-2025
INF204KA1V37,10.7661,05-Aug-2025
INF204KA1U95,10.9128,05-Aug-2025
INF204KA1V11,10.4341,05-Aug-2025
INF204KA1T72,20.9929,05-Aug-2025
INF204KA1U38,10.6972,05-Aug-2025
INF204KA1T98,10.8494,05-Aug-2025
INF204KA1U61,21.7937,05-Aug-2025
INF204KA1T56,20.9929,05-Aug-2025
-,1475.0596,05-Aug-2025
INF200K01V08,3348.8116,05-Aug-2025
INF200K01V40,1312.0524,05-Aug-2025
INF200K01V32,1471.7834,05-Aug-2025
INF200K01U41,3150.0679,05-Aug-2025
-,1437.1483,05-Aug-2025
INF200K01U82,1229.7044,05-Aug-2025
INF200K01U74,1436.806,05-Aug-2025
INF903J01RI4,21.8981,27-Jun-2025
INF903J01PA5,44.1317,05-Aug-2025
INF903J01PB3,11.787,05-Aug-2025
INF903J01LY4,21.7644,27-Jun-2025
INF903J01IN3,43.5077,05-Aug-2025
INF903J01IO1,11.8303,05-Aug-2025
INF0GCD01107,1310.8591,05-Aug-2025
INF0GCD01016,1281.6215,05-Aug-2025
INF0GCD01180,1149.814,05-Aug-2025
-,1307.4534,05-Aug-2025
INF0GCD01149,1145.9899,05-Aug-2025
INF0GCD01164,1165.4513,05-Aug-2025
-,1125.6223,05-Aug-2025
INF0GCD01099,1122.0376,05-Aug-2025
-,1233.2694,05-Aug-2025
INF0GCD01057,1125.9269,05-Aug-2025
INF0GCD01073,1139.3967,05-Aug-2025
-,1108.3324,05-Aug-2025
INF789FA1V03,13.3245,05-Aug-2025
INF789FA1V29,19.4292,05-Aug-2025
INF789F015Z6,22.5468,05-Aug-2025
INF789FA1U87,14.9615,05-Aug-2025
INF789FC1HE1,13.5075,05-Aug-2025
INF789F016Z4,16.7813,05-Aug-2025
INF789FA1U46,13.0776,05-Aug-2025
INF789FA1U61,14.8633,05-Aug-2025
INF789FA1U20,14.801,05-Aug-2025
INF789FC1HC5,13.2804,05-Aug-2025
INF789F012Z3,15.21,05-Aug-2025
INF789F014Z9,22.1639,05-Aug-2025
INF209K01S38,116.1127,05-Aug-2025
INF209K01785,114.1548,05-Aug-2025
INF209KA1KT0,10.8135,05-Aug-2025
INF209K01N90,12.9453,05-Aug-2025
INF209KA1KS2,12.143,05-Aug-2025
INF209K01983,12.7439,05-Aug-2025
INF846K01ZN6,10.2348,05-Aug-2025
INF846K01ZQ9,10.2298,05-Aug-2025
INF846K01ZS5,14.2816,05-Aug-2025
INF846K01ZO4,10.3658,05-Aug-2025
INF846K01ZM8,18.3061,05-Aug-2025
INF846K01ZV9,10.2347,05-Aug-2025
INF846K01ZY3,10.2116,05-Aug-2025
INF846K01A03,13.3563,05-Aug-2025
INF846K01ZW7,10.2476,05-Aug-2025
INF846K01ZU1,17.2871,05-Aug-2025
INF194KA1T34,10.6251,05-Aug-2025
INF194KA1M23,20.0213,05-Aug-2025
INF194KA1T00,11.9367,05-Aug-2025
INF194KA1S43,10.3538,05-Aug-2025
INF194KA1M31,13.2828,05-Aug-2025
INF194KA1S76,10.6523,05-Aug-2025
INF194KA1S19,10.6062,05-Aug-2025
INF194KA1L81,19.4374,05-Aug-2025
INF194KA1R85,11.2962,05-Aug-2025
